53.50302,-1.61249,Hunshelf
53.57851,-1.39127,Brierley
53.52458,-1.39355,Darfield
53.50053,-1.43913,Hoyland
51.39109,-2.35934,Bath
51.4077,-2.49176,Keynsham
51.32749,-2.53109,Clutton
51.34644,-2.69071,Nempnett Thrubwell
52.13797,-0.47145,Bedford
52.12002,-0.47352,Kempston
52.11837,-0.55684,Kempston Rural
52.19402,-0.42563,Wilden
52.39962,-1.93385,Tees Grove
53.75625,-2.46265,Darwen
53.54928,-2.51473,Westhoughton
53.59142,-2.53941,Horwich
51.34761,-0.78799,Sandhurst
51.40655,-0.74904,Bracknell
51.42729,-0.75423,Warfield
53.79554,-1.75252,Queensbury
53.84871,-1.83278,Bingley
53.84681,-1.76742,Queensbury
53.89646,-1.94673,Steeton
53.86407,-1.90571,Keighley
53.79818,-1.72669,Queensbury
53.92058,-1.80356,Ilkley
50.839,-0.13786,Brighton
51.60928,-0.70159,Chepping Wycombe
51.62413,-0.74451,High Wycombe
51.64839,-0.82913,Bledlow-cum-Saunderton
51.65615,-0.71182,Hazlemere
51.70208,-0.71775,Great Missenden
51.77558,-0.86933,Dinton
51.81347,-0.98155,Ashendon
51.8219,-0.82464,Aylesbury
51.80601,-0.76558,Weston Turville
51.71944,-0.83019,Princes Risborough
51.71251,-0.60744,Chesham
51.67823,-0.59836,Amersham
51.64286,-0.57344,Chalfont St Giles
51.61035,-0.63801,Beaconsfield
51.52431,-0.51371,Iver
51.57411,-0.7762,Marlow
51.57786,-0.70682,Wooburn
51.59677,-0.55467,Chalfont St Peter
51.58157,-0.49019,Denham Green
53.64526,-2.31468,Ramsbottom
53.70121,-1.78186,Halifax
53.73916,-2.00758,Hebden Royd
53.71395,-2.0985,Todmorden
52.17611,0.18955,Fulbourn
52.16276,0.13333,Great Shelford
52.13194,0.29553,Balsham
52.12718,0.12898,Little Shelford
52.21349,-0.02215,Highfields
52.31538,0.02762,Over
52.26083,0.23615,Lode
52.21324,0.02448,Hardwick
52.24312,0.11521,Impington
52.23868,0.21021,Stow cum Quy
52.40388,0.22434,Downham
52.36606,0.32087,Soham
52.23083,0.42659,Woodditton
52.66895,0.13868,Wisbech
52.53589,0.08649,March
52.45379,0.05022,Chatteris
52.24203,-0.2584,St Neots
52.45292,-0.1132,Ramsey
52.33361,-0.07572,St Ives
52.35784,-0.18629,The Stukeleys
52.33345,-0.17848,Huntingdon
52.53877,-0.19801,Farcet
52.06369,-0.01293,Melbourn
51.90829,-0.5127,Thorn
51.87711,-0.53552,Dunstable
51.90921,-0.66388,Leighton-Linslade
52.02462,-0.46803,Maulden
52.01276,-0.26149,Arlesey
52.01507,-0.29638,Henlow
52.03445,-0.33063,Shefford
52.08208,-0.26609,Biggleswade
52.13925,-0.24049,Everton
53.10281,-2.43469,Crewe
53.18907,-2.44604,Middlewich
53.1426,-2.36482,Sandbach
53.16455,-2.21093,Congleton
53.08119,-2.44642,Crewe
52.99952,-2.40534,Bridgemere
53.20648,-2.34739,Holmes Chapel
53.062,-2.52084,Nantwich
53.27793,-2.12899,Macclesfield
53.35169,-2.09165,Poynton
53.32723,-2.22975,Macclesfield
53.3026,-2.37068,Knutsford
53.20173,-2.90732,Chester
53.2164,-2.86869,Upton
53.1664,-2.8213,Waverton
53.28779,-3.04717,Ellesmere Port
53.16197,-2.66565,Tarporley
53.19054,-2.52688,Winsford
53.2533,-2.56363,Weaverham
53.25897,-2.50074,Northwich
53.02924,-2.76203,Malpas
53.27222,-2.72285,Frodsham
51.45309,-2.593,Bristol
53.74288,-0.33494,Hull
50.82366,-4.53323,Bude
50.34537,-4.21106,Rame
50.3725,-4.2503,Antony
50.41932,-4.2483,Saltash
50.35715,-4.47456,Looe
50.46351,-4.4646,Liskeard
50.63218,-4.39987,South Petherwin
50.51625,-4.3051,Callington
50.51523,-4.21899,Calstock
50.40273,-4.65146,Lostwithiel
50.33653,-4.63513,Fowey
50.35461,-4.70925,St Blaise
50.34038,-4.77872,St Austell
50.34196,-4.8252,St Mewan
50.52248,-4.87408,St Breock
50.53366,-4.96651,Padstow
50.58564,-4.82988,St Endellion
